KabKota_Angka,Pengeluaran_PerKapita,Total_Pengeluaran_RT,Makanan_Rupiah,NonMakanan_Rupiah,Kalori_PerKapita,Penimbang_Penduduk,Penimbang_RT
1,1063517.857142857,2127035.714285714,1165285.714285714,961749.9999999998,1450.931918367347,444.4473332679984,222.2236666339992
1,521684.5238095239,2086738.095238095,1232571.428571428,854166.6666666667,1448.895525510204,2265.113168013936,566.2782920034841
1,481976.1904761904,1927904.761904761,839571.4285714286,1088333.333333333,1101.387178571428,1855.307102979577,463.8267757448944
1,476677.8571428571,2383389.285714285,1102714.285714285,1280675,1313.578371428571,5323.490229504568,1064.698045900913
1,615235.7142857143,1230471.428571428,602571.4285714286,627899.9999999998,1361.698214285714,315.171232629644,157.585616314822
1,584534.5238095237,2338138.095238095,1048971.428571428,1289166.666666666,1234.015374999999,3627.657664899847,906.9144162249618
1,427690.4761904762,1710761.904761904,807428.5714285715,903333.3333333333,1271.929928571428,5667.739866218286,1416.934966554571
1,1945791.666666666,3891583.333333333,1671000,2220583.333333333,1835.384285714285,113.1630408101595,56.58152040507979
1,1381922.619047618,2763845.238095237,1422428.571428571,1341416.666666666,1544.603214285714,1288.270454903267,644.1352274516337
1,870056.5476190476,3480226.19047619,1472142.857142857,2008083.333333333,1564.904696428571,8754.728547809535,2188.682136952383
1,381364.6825396825,2288188.095238095,1055271.428571428,1232916.666666666,1242.492238095237,10829.73962621523,1804.956604369205
1,696444.4444444446,2089333.333333333,1362000,727333.3333333334,1688.019047619047,6520.196148784244,2173.398716261414
1,1293077.380952381,2586154.761904762,1250571.428571428,1335583.333333333,1788.001785714285,1658.718250743861,829.3591253719306
1,1211471.428571428,6057357.142857143,2451857.142857142,3605500,1756.405367346938,12066.88653686474,2413.377307372948
1,1365861.111111111,4097583.333333333,1631999.999999999,2465583.333333333,1745.637857142857,4199.047628902028,1399.682542967342
1,2587488.095238095,12937440.47619047,6147857.142857143,6789583.333333333,2525.038428571427,5879.964185678991,1175.992837135798
1,468505.9523809523,1874023.809523809,1203857.142857142,670166.6666666667,1149.674642857143,9663.48605492964,2415.871513732409
1,604345.2380952379,1813035.714285714,1186285.714285714,626749.9999999998,1958.608571428571,2700.815516475599,900.2718388251996
1,713000.0000000001,2852000,1806000,1046000,2332.766875,14187.16184748252,3546.790461870632
1,934000,934000,522000,412000,2637.247142857143,333.3667193535526,333.3667193535526
1,1296539.294642857,5186157.178571429,3182571.428571428,2003585.75,2451.582168367347,6795.916301717122,1698.97907542928
1,642392.8571428572,3211964.285714286,1834714.285714286,1377250,1552.6037653061221,20058.86346847,4011.772693694
1,807743.705357143,3230974.821428571,1947428.571428571,1283546.249999999,2580.241265306122,3707.97961299537,926.9949032488424
1,813898.8095238097,3255595.238095238,1551428.571428571,1704166.666666666,1865.560714285714,4253.500701233296,1063.375175308324
1,1084726.19047619,4338904.761904762,2147571.428571429,2191333.333333333,2056.333214285713,11444.41781185675,2861.104452964188
1,584630.9523809524,584630.9523809524,325714.2857142857,258916.6666666665,1726.526428571428,79.27120608416188,79.27120608416188
1,857797.6190476189,1715595.238095237,855428.5714285715,860166.6666666662,2434.85387755102,240.5740208686422,120.2870104343211
1,713555.5555555556,2140666.666666666,1290000,850666.6666666667,2052.780476190476,1147.156895412812,382.3856318042708
1,372492.8571428571,1862464.285714285,1261714.285714285,600749.9999999998,1508.771999999999,9757.110362953728,1951.422072590745
1,1948521.428571428,9742607.14285714,6102857.142857141,3639749.999999999,3273.37,15217.03802610871,3043.407605221741
1,382157.7380952379,1528630.952380951,835714.2857142854,692916.6666666665,1082.152142857142,4771.564161901756,1192.891040475439
1,585666.6666666665,2342666.666666666,1409999.999999999,932666.6666666662,1740.621428571428,7369.176196684381,1842.294049171095
1,1545523.809523809,4636571.428571428,2828571.428571428,1807999.999999999,2801.294761904761,6790.026858067352,2263.34228602245
1,2477722.222222222,7433166.666666666,4884000,2549166.666666666,4026.014285714285,2732.001585157409,910.6671950524698
1,2724789.682539682,8174369.047619048,4774285.714285715,3400083.333333333,3284.555714285714,6634.957020887285,2211.652340295761
1,846097.619047619,4230488.095238096,2588571.428571429,1641916.666666666,1795.518408163265,6910.785058701471,1382.157011740294
1,1552666.666666666,6210666.666666667,3441000,2769666.666666667,2692.6425,8405.960210686117,2101.490052671529
1,455270.8333333332,1821083.333333333,1080000,741083.3333333331,1321.226785714285,10489.97369744226,2622.493424360566
1,1592565.476190476,3185130.952380952,2065714.285714286,1119416.666666666,3260.457142857142,1969.350403360475,984.675201680238
1,2351309.523809523,2351309.523809523,1217142.857142856,1134166.666666666,3168.349285714285,296.698897466439,296.698897466439
1,2636321.428571428,2636321.428571428,1580571.428571428,1055749.999999999,3275.036428571428,296.698897466439,296.698897466439
1,4849750,4849750,2507999.999999999,2341750,4142.105357142857,61.50352196184973,61.50352196184973
1,2082678.571428571,6248035.714285714,3499285.714285714,2748750,2959.07619047619,3964.361124020701,1321.4537080069
1,504045.2380952381,1008090.476190476,418757.1428571428,589333.3333333333,1335.490433673469,130.848304914562,65.42415245728102
1,909089.2857142856,1818178.571428571,894428.5714285712,923750,1842.44,1672.739584111291,836.3697920556458
1,588103.5714285712,2352414.285714285,1094914.285714285,1257499.999999999,2271.781964285713,5697.113644755429,1424.278411188857
1,934994.6428571428,3739978.571428571,1410728.571428571,2329250,1157.81594387755,7131.266349937261,1782.816587484315
1,3468076.19047619,6936152.38095238,2865985.714285714,4070166.666666666,2479.800357142857,130.848304914562,65.42415245728102
1,639896.1904761902,1919688.57142857,1000688.571428571,918999.9999999997,1406.723452380952,5220.310664869054,1740.103554956351
1,729102.3809523808,2916409.523809523,1648242.857142856,1268166.666666666,1670.098622448979,5853.493440490515,1463.373360122628
1,2870907.142857142,5741814.285714285,3927814.285714285,1814000,3457.538367346938,3457.341597687996,1728.670798843998
1,604238.0952380951,1208476.19047619,417642.8571428571,790833.3333333333,1356.010714285714,4572.735536523086,2286.367768261543
1,590386.9047619047,1180773.809523809,435857.1428571428,744916.6666666666,1093.657142857142,1672.739584111291,836.3697920556458
